rn_path,name,type,status,note,reviewer,reviewed_at
wagerproof-mobile/app/(drawer)/(tabs)/scoreboard.tsx,scoreboard,screen,candidate,B07 ported; fidelity table at docs/wagerproof-migration/fidelity/b07-scoreboard.md,,
wagerproof-mobile/components/LiveScoreCard.tsx,LiveScoreCard,component,candidate,B07 ported,,
wagerproof-mobile/components/LiveScoreCardShimmer.tsx,LiveScoreCardShimmer,component,candidate,B07 ported,,
wagerproof-mobile/components/LiveScorePredictionCard.tsx,LiveScorePredictionCard,component,candidate,B07 ported; team colors deferred to ticket #008,,
wagerproof-mobile/components/LiveScoreDetailModal.tsx,LiveScoreDetailModal,sheet,candidate,B07 ported as native .sheet,,
wagerproof-mobile/services/liveScoresService.ts,liveScoresService,service,candidate,B07 ported to WagerproofServices/LiveScoresService.swift,,
wagerproof-mobile/hooks/useLiveScores.ts,useLiveScores,hook,candidate,B07 ported to WagerproofStores/LiveScoresStore.swift,,
wagerproof-mobile/types/liveScores.ts,liveScores,type,candidate,B07 ported to WagerproofModels/LiveScore.swift,,
wagerproof-mobile/app/(auth)/_layout.tsx,(auth)/_layout,layout,candidate,B01 ported to Features/Auth/AuthRouter.swift,,
wagerproof-mobile/app/(auth)/login.tsx,login,screen,candidate,B01 ported to Features/Auth/LoginView.swift; waivers #001 #002 #003,,
wagerproof-mobile/app/(auth)/email-login.tsx,email-login,screen,candidate,B01 ported to Features/Auth/EmailLoginView.swift; waiver #004,,
wagerproof-mobile/app/(auth)/signup.tsx,signup,screen,candidate,B01 ported to Features/Auth/SignupView.swift; waiver #004,,
wagerproof-mobile/app/(auth)/forgot-password.tsx,forgot-password,screen,candidate,B01 ported to Features/Auth/ForgotPasswordView.swift; waiver #004,,
wagerproof-mobile/contexts/AuthContext.tsx,AuthContext,store (context),candidate,B01 extended WagerproofStores/AuthStore.swift with signInWithApple/signInWithGoogle,,
wagerproof-mobile/app/(drawer)/(tabs)/_layout.tsx,_layout,layout,candidate,B03 ported to Features/Navigation/MainTabView.swift,b03-implementer,2026-05-20
wagerproof-mobile/app/(drawer)/_layout.tsx,_layout,layout,candidate,B03 collapsed into MainTabView + SideMenuSheet,b03-implementer,2026-05-20
wagerproof-mobile/components/SideMenu.tsx,SideMenu,component,candidate,B03 ported (structural rows); subscription state lands in B08,b03-implementer,2026-05-20
wagerproof-mobile/components/FloatingAssistantBubble.tsx,FloatingAssistantBubble,component,candidate,B03 launcher pill shipped; draggable mode lands in B17,b03-implementer,2026-05-20
wagerproof-mobile/components/OfflineBanner.tsx,OfflineBanner,component,candidate,B03 ported (NWPathMonitor),b03-implementer,2026-05-20
wagerproof-mobile/components/GlobalErrorBoundary.tsx,GlobalErrorBoundary,component,candidate,B03 deferred to per-screen .alert integration,b03-implementer,2026-05-20
wagerproof-mobile/app/(drawer)/(tabs)/_layout.tsx,_layout,layout,reviewed,B03 reviewer PASS — MainTabView native TabView + .sheet drawer,b03-reviewer-2026-05-20,2026-05-20
wagerproof-mobile/app/(drawer)/_layout.tsx,_layout,layout,reviewed,B03 reviewer PASS — drawer collapsed into MainTabView + SideMenuSheet,b03-reviewer-2026-05-20,2026-05-20
wagerproof-mobile/components/SideMenu.tsx,SideMenu,component,reviewed,B03 reviewer PASS — structural rows + nav; sub state lands B08,b03-reviewer-2026-05-20,2026-05-20
wagerproof-mobile/components/FloatingAssistantBubble.tsx,FloatingAssistantBubble,component,reviewed,B03 reviewer PASS — launcher pill shipped; draggable mode lands B17,b03-reviewer-2026-05-20,2026-05-20
wagerproof-mobile/components/OfflineBanner.tsx,OfflineBanner,component,reviewed,B03 reviewer PASS — NWPathMonitor port,b03-reviewer-2026-05-20,2026-05-20
wagerproof-mobile/components/GlobalErrorBoundary.tsx,GlobalErrorBoundary,component,reviewed,B03 reviewer PASS — deferred to per-screen .alert per RN→Swift idiom delta,b03-reviewer-2026-05-20,2026-05-20
