player,old_team,new_team,first_season_away,tier,how,note
Stefon Diggs,MIN,BUF,2020,1,trade,"cryptic tweets, forced way out of MIN"
Stefon Diggs,BUF,HOU,2024,1,trade,"skipped minicamp, friction with Allen/McDermott, traded"
Stefon Diggs,HOU,NE,2025,2,fa,"ACL year then left"
Davante Adams,GB,LV,2022,1,trade,"declined GB extension, forced trade to reunite with Carr"
Davante Adams,LV,NYJ,2024,1,trade,"requested trade out of LV midseason"
Davante Adams,NYJ,LA,2025,2,release,"released after Jets collapse"
Tyreek Hill,KC,MIA,2022,1,trade,"contract standoff, traded away from Mahomes"
DeAndre Hopkins,HOU,ARI,2020,1,trade,"O'Brien trade, feud"
DeAndre Hopkins,ARI,TEN,2023,1,release,"released after PED suspension and pay cut fight"
DeAndre Hopkins,TEN,KC,2024,2,trade,"midseason trade"
DeAndre Hopkins,KC,BAL,2025,2,fa,""
Aaron Rodgers,GB,NYJ,2023,1,trade,"offseason drama, darkness retreat, traded"
Aaron Rodgers,NYJ,PIT,2025,1,release,"told by Jets brass they were moving on, public spat"
Russell Wilson,SEA,DEN,2022,1,trade,"blockbuster trade, 'let Russ cook' era ended"
Russell Wilson,DEN,PIT,2024,1,release,"benched by Payton, released with record dead money"
Russell Wilson,PIT,NYG,2025,2,fa,""
Deshaun Watson,HOU,CLE,2022,1,trade,"trade demand, lawsuits, fully guaranteed deal"
Saquon Barkley,NYG,PHI,2024,1,fa,"franchise tag fight, NYG let him walk to a rival"
Derrick Henry,TEN,BAL,2024,2,fa,"franchise icon let go"
Kirk Cousins,MIN,ATL,2024,2,fa,"left MIN, then benched for Penix in ATL"
Kirk Cousins,WAS,MIN,2018,1,fa,"tag-and-tag standoff with WAS"
Baker Mayfield,CLE,CAR,2022,1,trade,"dumped for Watson, public falling out"
Baker Mayfield,LA,TB,2023,2,fa,""
Amari Cooper,DAL,CLE,2022,1,trade,"salary dump trade"
Amari Cooper,CLE,BUF,2024,2,trade,"midseason trade"
Diontae Johnson,PIT,CAR,2024,2,trade,""
Diontae Johnson,CAR,BAL,2024,1,trade,"midseason trade, then refused to enter a game, released"
DK Metcalf,SEA,PIT,2025,1,trade,"requested trade out of SEA"
George Pickens,PIT,DAL,2025,1,trade,"effort/attitude questions, traded"
Deebo Samuel,SF,WAS,2025,1,trade,"requested trade, SF moved on"
Cooper Kupp,LA,SEA,2025,1,release,"Rams told him they'd trade him, released, signed with division rival"
Justin Fields,CHI,PIT,2024,1,trade,"CHI drafted Caleb Williams, traded Fields for a 6th"
Justin Fields,PIT,NYJ,2025,2,fa,""
Jared Goff,LA,DET,2021,1,trade,"McVay moved on, swapped for Stafford"
Matthew Stafford,DET,LA,2021,1,trade,"requested trade out of DET"
Calvin Ridley,ATL,JAX,2023,1,trade,"gambling suspension, traded"
Calvin Ridley,JAX,TEN,2024,1,fa,"left JAX for division rival"
Christian McCaffrey,CAR,SF,2022,1,trade,"midseason blockbuster trade"
Sam Darnold,MIN,SEA,2025,2,fa,"MIN chose McCarthy"
Sam Darnold,NYJ,CAR,2021,2,trade,"NYJ gave up on the #3 pick"
Geno Smith,SEA,LV,2025,1,trade,"contract standoff, traded to Carroll"
Joe Mixon,CIN,HOU,2024,2,trade,""
Keenan Allen,LAC,CHI,2024,1,trade,"cap-dump trade of a franchise WR"
Keenan Allen,CHI,LAC,2025,2,fa,"came back"
